,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp CÂ° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
110,"Korea, South",ASIA,48846823,98480,496.0,17800.0,97.9,17.18,10.0,5.85,,,,,,,,,
111,Kuwait,NEAR EAST,2418393,17820,135.7,19000.0,83.5,0.73,21.94,2.41,25.35,KWT,121.0,121.0,121.0,,0.0,0.0,
112,Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.3,1600.0,97.0,7.3,22.8,7.08,1.55,,,,,,,,
113,Laos,ASIA,6368481,236800,26.9,1700.0,66.4,3.8,35.49,11.55,22.8,,,,,,,,
114,Latvia,BALTICS,2274735,64589,35.2,10200.0,99.8,29.67,9.24,13.66,5.6,LVA,641.0,641.0,641.0,6479.65182772847,7332.784168112091,8496.41535533975,1.44332939787485
115,Lebanon,NEAR EAST,3874050,10400,372.5,4800.0,87.4,16.62,18.52,6.21,16.4,LBN,661.0,661.0,661.0,1560.40117914316,1147.71992286366,766.478081122124,26.375
116,Lesotho,SUB-SAHARAN AFRICA,2022331,30355,66.6,3000.0,84.8,10.87,24.75,28.71,11.85,LSO,788.0,788.0,788.0,2934.4352895300103,2576.57172106616,2559.4133804957,0.837476099426386
117,Liberia,SUB-SAHARAN AFRICA,3042004,111370,27.3,1000.0,57.5,3.95,44.77,23.1,25.3,LBR,2391.0,2391.0,2391.0,99918.8658809047,66121.6261027021,45876.7681193163,0.0654
118,Libya,NORTHERN AFRICA,5900754,1759540,3.4,6400.0,82.6,1.03,26.49,3.48,21.8,LBY,56.0,56.0,56.0,150.50898914937702,126.557356064963,110.027653092869,615.428571428571
119,Liechtenstein,WESTERN EUROPE,33987,160,212.4,25000.0,100.0,25.0,10.21,7.18,5.65,LIE,56.0,56.0,,,,,
120,Lithuania,BALTICS,3585906,65200,55.0,11400.0,99.6,45.22,8.75,10.98,6.2,LTU,656.0,656.0,656.0,4178.249643119099,4490.182735334521,5272.19137304437,17.9042690815006
121,Luxembourg,WESTERN EUROPE,474413,2586,183.5,55100.0,100.0,23.28,11.94,8.41,8.65,LUX,934.0,934.0,934.0,2549.88206795436,2241.27304308847,1797.52983450143,6.05
122,Macau,ASIA,453125,28,16183.0,19400.0,94.5,0.0,8.48,4.47,,,,,,,,,
123,Macedonia,EASTERN EUROPE,2050554,25333,80.9,6700.0,,22.26,12.02,8.77,9.8,,,,,,,,
124,Madagascar,SUB-SAHARAN AFRICA,18595469,587040,31.7,800.0,68.9,5.07,41.41,11.11,22.65,MDG,1513.0,1513.0,1513.0,27395.3983534797,20101.2614466096,14285.7827169753,3.9673590504451
125,Malawi,SUB-SAHARAN AFRICA,13013926,118480,109.8,600.0,62.7,23.38,43.13,19.33,21.9,MWI,1181.0,1181.0,1181.0,1666.32717229338,1377.8780064034604,990.819875822153,8.2094175960347
126,Malaysia,ASIA,24385858,329750,74.0,9000.0,88.7,5.48,22.86,5.05,25.4,MYS,2875.0,2875.0,2875.0,30522.0491282903,23958.6348386392,19419.7128634738,1.60362068965517
127,Maldives,ASIA,359008,300,1196.7,3900.0,97.2,13.33,34.81,7.06,27.65,MDV,1972.0,1972.0,1972.0,126.97606501174499,101.976300707716,68.9631392020965,
128,Mali,SUB-SAHARAN AFRICA,11716829,1240000,9.5,900.0,46.4,3.82,49.82,16.89,28.25,MLI,282.0,282.0,282.0,6779.405161432329,5164.89486383056,3543.1215609576398,
129,Malta,WESTERN EUROPE,400214,316,1266.5,17700.0,92.8,28.13,10.22,8.1,19.2,MLT,560.0,560.0,560.0,137.3708577926,127.53523634425899,116.21003410361799,67.3267326732673
130,Marshall Islands,OCEANIA,60422,11854,5.1,1600.0,93.7,16.67,33.05,4.78,27.4,MHL,560.0,560.0,,,,,
131,Martinique,LATIN AMER. & CARIB,436131,1100,396.5,14400.0,97.7,10.38,13.74,6.48,,,,,,,,,
132,Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,3.1,1800.0,41.7,0.48,40.99,12.16,27.65,MRT,92.0,92.0,92.0,186.685148496368,143.98334976543302,101.757970701845,399.75
133,Mauritius,SUB-SAHARAN AFRICA,1240827,2040,608.3,11400.0,85.6,49.26,15.43,6.86,22.4,MUS,2041.0,2041.0,2041.0,2536.79084431518,2283.70582946836,2181.71609299139,22.173754998182503
134,Mayotte,SUB-SAHARAN AFRICA,201234,374,538.1,2600.0,,,40.95,7.7,,,,,,,,,
135,Mexico,LATIN AMER. & CARIB,107449525,1972550,54.5,9000.0,92.2,12.99,20.69,4.74,21.0,MEX,758.0,758.0,758.0,4697.09275683261,4022.23507283166,3398.2764739363697,17.677261613691893
136,"Micronesia, Fed. St",OCEANIA,108004,702,153.9,2000.0,89.0,5.71,24.68,4.75,,,,,,,,,
137,Moldova,C.W. OF IND. STATES,4466706,33843,132.0,1800.0,99.1,55.3,15.7,12.64,9.45,MDA,450.0,450.0,450.0,437.12898003238,447.135599666801,455.517199007872,
138,Monaco,WESTERN EUROPE,32543,2,16271.5,27000.0,99.0,0.0,9.19,12.91,13.55,MCO,,,,,,,
139,Mongolia,ASIA,2832224,1564116,1.8,1800.0,97.8,0.77,21.59,6.95,-0.7,MNG,241.0,241.0,241.0,15511.512171856899,14243.2010202716,11836.299891024399,
140,Montserrat,LATIN AMER. & CARIB,9439,102,92.5,3400.0,97.0,20.0,17.59,7.1,,,,,,,,,
141,Morocco,NORTHERN AFRICA,33241259,446550,74.4,4000.0,51.7,19.61,21.98,5.58,17.1,MAR,346.0,346.0,346.0,1127.90409050365,984.560462333297,848.143006971706,51.1034482758621
142,Mozambique,SUB-SAHARAN AFRICA,19686505,801590,24.6,1200.0,47.8,5.1,35.18,21.35,23.8,MOZ,1032.0,1032.0,1032.0,7264.956738739908,5345.297989704311,3815.695733150561,0.881555333998006
143,Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.5,7200.0,84.0,0.99,24.32,18.86,19.95,NAM,285.0,285.0,285.0,4060.7584389284298,3326.9908070275105,2709.56220336672,4.5762987012987
144,Nauru,OCEANIA,13287,21,632.7,5000.0,,0.0,24.76,6.7,,NRU,285.0,285.0,,,,,
145,Nepal,ASIA,28287147,147181,192.2,1400.0,45.2,21.68,30.98,9.31,8.1,NPL,1500.0,1500.0,1500.0,9940.65698614527,8015.974680844291,7366.133165862198,4.82441977800202
146,Netherlands,WESTERN EUROPE,16491461,41526,397.1,28600.0,99.0,26.71,10.9,8.68,9.25,NLD,778.0,778.0,778.0,724.438866118824,681.159722728362,652.2380540821558,80.96363636363641
147,Netherlands Antilles,LATIN AMER. & CARIB,221736,960,231.0,11400.0,96.7,10.0,14.78,6.45,,,,,,,,,
148,New Caledonia,OCEANIA,219246,19060,11.5,15000.0,91.0,0.38,18.11,5.69,,NCL,,,,,,,
149,New Zealand,OCEANIA,4076140,268680,15.2,21600.0,99.0,5.6,13.76,7.53,10.55,NZL,1732.0,1732.0,1732.0,92589.9708355749,82816.2593389895,72510.366543229,0.9602446483180428
150,Nicaragua,LATIN AMER. & CARIB,5570129,129494,43.0,2300.0,67.5,15.94,24.51,4.45,24.9,NIC,2280.0,2280.0,2280.0,35788.6517438834,29927.224347655498,25428.4208673892,0.8879641485275291
151,Niger,SUB-SAHARAN AFRICA,12525094,1267000,9.9,800.0,17.6,3.54,50.73,20.91,27.15,NER,151.0,151.0,151.0,408.555383184094,287.120991062908,181.911197502183,
152,Nigeria,SUB-SAHARAN AFRICA,131859731,923768,142.7,900.0,68.0,31.29,40.43,16.94,26.8,NGA,1150.0,1150.0,1150.0,2206.43197884701,1718.5594372257501,1252.79965292574,4.66515837104072
153,N. Mariana Islands,OCEANIA,82459,477,172.9,12500.0,97.0,13.04,19.43,2.29,,,,,,,,,
154,Norway,WESTERN EUROPE,4610820,323802,14.2,37800.0,100.0,2.87,11.46,9.4,1.5,NOR,1414.0,1414.0,1414.0,89119.0534903291,84175.1027233731,74359.1101200024,0.6280104712041881
155,Oman,NEAR EAST,3102229,212460,14.6,13100.0,75.8,0.0,36.24,3.81,25.6,OMN,125.0,125.0,125.0,705.903114797494,599.608198871195,347.630895447525,92.8571428571429
156,Pakistan,ASIA,165803560,803940,206.2,2100.0,45.7,27.87,29.74,8.23,20.2,PAK,494.0,494.0,494.0,482.8325549165409,367.7707143511489,281.608182407348,313.818181818182
157,Palau,OCEANIA,20579,458,44.9,9000.0,92.0,8.7,18.03,6.8,27.6,PLW,494.0,494.0,,,,,
158,Panama,LATIN AMER. & CARIB,3191319,78200,40.8,6300.0,92.6,7.36,21.74,5.36,25.4,PAN,2928.0,2928.0,2928.0,53028.8972551529,43376.260801197,35013.835078685,
159,Papua New Guinea,OCEANIA,5670544,462840,12.3,2200.0,64.6,0.46,29.36,7.25,25.25,PNG,3142.0,3142.0,3142.0,165625.322436938,131341.16712614198,100796.16385655901,0.0338826466916355
160,Paraguay,LATIN AMER. & CARIB,6506464,406750,16.0,4700.0,94.0,7.6,29.1,4.49,23.55,PRY,1130.0,1130.0,1130.0,26321.6150403058,21149.819901149,17728.5459592098,0.41880341880341904
161,Peru,LATIN AMER. & CARIB,28302603,1285220,22.0,5100.0,90.9,2.89,20.48,6.23,19.6,PER,1738.0,1738.0,1738.0,71450.9080012738,60551.342667907695,54535.7401684706,
162,Philippines,ASIA,89468677,300000,298.2,4600.0,92.6,18.95,24.89,5.41,25.85,PHL,2348.0,2348.0,2348.0,7366.9508679437,5887.0335051355705,4765.54617168554,
163,Poland,EASTERN EUROPE,38536869,312685,123.3,11100.0,99.8,45.91,9.85,9.89,7.85,POL,600.0,600.0,600.0,1397.1552823665195,1402.02693335591,1410.0908574681,21.865671641791
164,Portugal,WESTERN EUROPE,10605870,92391,114.8,18000.0,93.3,21.75,10.72,10.5,15.15,PRT,854.0,854.0,854.0,3818.13844851351,3646.96216209576,3653.47307803761,29.3157894736842
165,Puerto Rico,LATIN AMER. & CARIB,3927188,13790,284.8,16800.0,94.1,3.95,12.77,7.65,,PRI,2054.0,2054.0,2054.0,1980.37697451952,1856.8397476685504,2008.55815511387,12.061971830985902
166,Qatar,NEAR EAST,885359,11437,77.4,21500.0,82.5,1.64,15.56,4.72,27.15,QAT,74.0,74.0,74.0,113.041108610301,87.3814888557394,22.7716515709593,292.678571428571
167,Reunion,SUB-SAHARAN AFRICA,787584,2517,312.9,5800.0,88.9,13.6,18.9,5.49,,,,,,,,,
168,Romania,EASTERN EUROPE,22303552,237500,93.9,7000.0,98.4,40.82,10.7,11.77,8.8,ROU,637.0,637.0,637.0,1859.2380440640304,1950.2546099269894,2128.6877644504,21.760264275601696
169,Russia,C.W. OF IND. STATES,142893540,17075200,8.4,8900.0,99.6,7.33,9.95,14.65,-5.1,,,,,,,,
170,Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.4,1300.0,70.4,40.54,40.37,16.09,17.85,RWA,1212.0,1212.0,1212.0,1417.43571257627,1127.32079752606,857.119528024876,1.57894736842105
171,Saint Helena,SUB-SAHARAN AFRICA,7502,413,18.2,2500.0,97.0,12.9,12.13,6.53,,,,,,,,,
172,Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,149.9,8800.0,97.0,19.44,18.02,8.33,,,,,,,,,
173,Saint Lucia,LATIN AMER. & CARIB,168458,616,273.5,5400.0,67.0,6.56,19.68,5.08,25.5,,,,,,,,
174,St Pierre & Miquelon,NORTHERN AMERICA,7026,242,29.0,6900.0,99.0,13.04,13.52,6.83,,,,,,,,,
175,Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,303.0,2900.0,96.0,17.95,16.18,5.98,26.8,,,,,,,,
176,Samoa,OCEANIA,176908,2944,60.1,5600.0,99.7,21.2,16.43,6.62,26.7,WSM,1583.0,1583.0,,,,,
177,San Marino,WESTERN EUROPE,29251,61,479.5,34600.0,96.0,16.67,10.02,8.17,11.85,SMR,,,,,,,
178,Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,193.2,1200.0,79.3,6.25,40.25,6.47,,,,,,,,,
179,Saudi Arabia,NEAR EAST,27019731,1960582,13.8,11800.0,78.8,1.67,29.34,2.58,24.65,SAU,59.0,59.0,59.0,138.86726320571302,110.064918581999,77.6272104590763,
180,Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,1600.0,40.2,12.78,32.78,9.42,27.85,SEN,686.0,686.0,686.0,3228.99749890364,2508.8248887875893,1820.14036104107,8.60852713178295
181,Serbia,EASTERN EUROPE,9396411,88361,106.3,2200.0,93.0,33.35,,,10.55,SRB,686.0,686.0,,,,1179.0071377123,
182,Seychelles,SUB-SAHARAN AFRICA,81541,455,179.2,7800.0,58.0,2.22,16.03,6.29,27.15,SYC,2330.0,2330.0,2330.0,,,,
183,Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.7,500.0,31.4,6.98,45.76,23.03,26.05,SLE,2526.0,2526.0,2526.0,36800.8640842887,32220.6080592601,22801.2992180294,0.1180625
184,Singapore,ASIA,4492150,693,6482.2,23700.0,92.5,1.64,9.34,4.28,26.45,SGP,2497.0,2497.0,2497.0,185.71838036238603,143.679881224632,109.694748766117,
185,Slovakia,EASTERN EUROPE,5439448,48845,111.4,13300.0,,30.16,10.65,9.45,6.8,,,,,,,,
186,Slovenia,EASTERN EUROPE,2010347,20273,99.2,19000.0,99.7,8.6,8.98,10.31,8.9,SVN,1162.0,1162.0,1162.0,9351.37425632282,9360.60124440344,9054.40401943763,4.81628280664167
187,Solomon Islands,OCEANIA,552438,28450,19.4,1700.0,,0.64,30.01,3.92,25.65,SLB,3028.0,3028.0,3028.0,135456.59782724,102656.671994709,76139.6677448861,
188,Somalia,SUB-SAHARAN AFRICA,8863338,637657,13.9,500.0,37.8,1.67,45.13,16.63,27.05,SOM,282.0,282.0,282.0,822.4378593368082,631.48974113341,446.974785258414,54.8333333333333
189,South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.2,10700.0,86.4,12.08,18.2,22.0,17.75,ZAF,495.0,495.0,495.0,1158.4427188991901,970.728358071703,821.3252555994452,28.415178571428598
190,Spain,WESTERN EUROPE,40397842,504782,80.0,22000.0,97.9,26.07,10.06,9.72,13.3,ESP,636.0,636.0,636.0,2839.8001567253004,2683.94444640484,2392.38145265832,31.933453237410106
191,Sri Lanka,ASIA,20222240,65610,308.2,3700.0,92.3,13.86,15.51,6.52,26.95,LKA,1712.0,1712.0,1712.0,2976.85814160271,2769.838681028,2541.14929252094,24.6401515151515
192,Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.5,1900.0,61.1,6.83,34.53,8.97,26.9,SDN,1712.0,1712.0,250.0,,,101.651134627423,
193,Suriname,LATIN AMER. & CARIB,439117,163270,2.7,4000.0,93.0,0.37,18.02,7.27,25.7,SUR,2331.0,2331.0,2331.0,235347.256064946,205294.09934990198,178935.17305200102,0.676767676767677
194,Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.5,4900.0,81.6,10.35,27.41,29.74,21.4,,,,,,,,
195,Sweden,WESTERN EUROPE,9016596,449964,20.0,26800.0,99.0,6.54,10.27,10.31,2.1,SWE,624.0,624.0,624.0,19727.581708817,19159.754029094598,17635.9385361759,1.56491228070175
196,Switzerland,WESTERN EUROPE,7523934,41290,182.2,32700.0,99.0,10.42,9.71,8.49,5.5,CHE,1537.0,1537.0,1537.0,5876.05252609171,5545.82976251906,4933.65877570281,6.2326732673267315
197,Syria,NEAR EAST,18881361,185180,102.0,3300.0,76.9,25.22,27.76,4.81,17.75,,,,,,,,
198,Taiwan,ASIA,23036087,35980,640.3,23400.0,96.1,24.0,12.56,6.48,,,,,,,,,
199,Tajikistan,C.W. OF IND. STATES,7320815,143100,51.2,1000.0,99.4,6.61,32.65,8.25,2.0,TJK,691.0,691.0,691.0,11532.9521486075,9874.17352809697,7689.48069105482,18.3737787582729
200,Tanzania,SUB-SAHARAN AFRICA,37445392,945087,39.6,600.0,78.2,4.52,37.71,16.39,22.35,TZA,1071.0,1071.0,1071.0,3115.58867360377,2377.26061919489,1681.35106646297,6.171428571428571
201,Thailand,ASIA,64631595,514000,125.7,7400.0,92.6,29.36,13.87,7.04,26.3,THA,1622.0,1622.0,1622.0,3883.34258964221,3504.02995441468,3280.3063411609196,
202,Togo,SUB-SAHARAN AFRICA,5548702,56785,97.7,1500.0,60.9,46.15,37.01,9.83,27.15,TGO,1168.0,1168.0,1168.0,2914.41380367748,2212.80188630778,1611.09622209144,1.4695652173913
203,Tonga,OCEANIA,114689,748,153.3,2200.0,98.5,23.61,25.37,5.28,25.25,TON,,,,,,,
204,Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,207.9,9500.0,98.6,14.62,12.9,10.57,,,,,,,,,
205,Tunisia,NORTHERN AFRICA,10175014,163610,62.2,6900.0,74.2,17.86,15.52,5.13,19.2,TUN,207.0,207.0,207.0,487.00576895773,424.971465116225,379.185011643556,66.9606674612634
206,Turkey,NEAR EAST,70413958,780580,90.2,6700.0,86.5,30.93,16.62,5.97,11.1,TUR,593.0,593.0,593.0,4071.8257140923997,3484.5148696453,2939.1997273872803,18.502202643171803
207,Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.3,5800.0,98.0,3.72,27.61,8.6,15.1,TKM,161.0,161.0,161.0,360.270913470106,304.771903718109,257.028118327331,1772.9537366548002
208,Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,49.2,9600.0,98.0,2.33,21.84,4.21,,,,,,,,,
209,Tuvalu,OCEANIA,11810,26,454.2,1100.0,,0.0,22.18,7.11,28.0,TUV,161.0,161.0,,,,,
210,Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.5,1400.0,69.9,25.88,47.35,12.24,22.8,UGA,1180.0,1180.0,1180.0,2101.10359658294,1549.6325245139,1056.5627337645,0.8138461538461541
211,Ukraine,C.W. OF IND. STATES,46710816,603700,77.4,5400.0,99.7,56.21,8.82,14.39,8.3,UKR,565.0,565.0,565.0,1056.562204304,1143.0942378507302,1217.0892495522698,33.176043557168796
212,United Arab Emirates,NEAR EAST,2602713,82880,31.4,23200.0,77.9,0.6,18.96,4.4,27.0,ARE,78.0,78.0,78.0,73.0676884452219,43.1186017384845,16.279265371018,1556.0
213,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,27700.0,99.0,23.46,10.71,10.13,8.45,GBR,1220.0,1220.0,1220.0,2518.21791726984,2442.2912269244102,2244.12488106138,10.8827586206897
214,United States,NORTHERN AMERICA,298444215,9631420,31.0,37800.0,97.0,19.13,14.14,8.26,8.55,USA,715.0,715.0,715.0,10985.755163460899,9797.47278257368,8850.87998146755,16.8026969481902
215,Uruguay,LATIN AMER. & CARIB,3431932,176220,19.5,12800.0,98.0,7.43,13.91,9.05,17.55,URY,1300.0,1300.0,1300.0,29228.4204226138,27720.652788300802,27114.1860127266,3.96963123644252
216,Uzbekistan,C.W. OF IND. STATES,27307134,447400,61.0,1700.0,99.3,10.83,26.36,7.84,12.05,UZB,206.0,206.0,206.0,761.807077253019,646.569206449073,531.249085594827,328.886168910649
217,Vanuatu,OCEANIA,208869,12200,17.1,2900.0,53.0,2.46,22.72,7.82,23.95,VUT,206.0,206.0,,64445.44692917449,51567.6567656766,37894.8644879646,
218,Venezuela,LATIN AMER. & CARIB,25730435,912050,28.2,4800.0,93.4,2.95,18.71,4.92,25.35,,,,,,,,
219,Vietnam,ASIA,84402966,329560,256.1,2500.0,90.3,19.97,16.86,6.22,24.45,VNM,1821.0,1821.0,1821.0,5070.29275269368,4407.95503670003,3918.67837392729,
220,Virgin Islands,LATIN AMER. & CARIB,108605,1910,56.9,17200.0,,11.76,13.96,6.43,,,,,,,,,
221,Wallis and Futuna,OCEANIA,16025,274,58.5,3700.0,50.0,5.0,,,,,,,,,,,
222,West Bank,NEAR EAST,2460492,5860,419.9,800.0,,16.9,31.67,3.92,,,,,,,,,
223,Western Sahara,NORTHERN AFRICA,273008,266000,1.0,,,0.02,,,,,,,,,,,
224,Yemen,NEAR EAST,21456188,527970,40.6,800.0,50.2,2.78,42.89,8.3,23.85,,,,,,,,
225,Zambia,SUB-SAHARAN AFRICA,11502010,752614,15.3,800.0,80.6,7.08,41.0,19.93,21.4,ZMB,1020.0,1020.0,1020.0,9489.611537663759,7309.7163264975,5207.87573670824,1.96009975062344
226,Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.3,1900.0,90.7,8.32,28.01,21.84,21.0,ZWE,657.0,657.0,657.0,1124.71884322392,1025.5732460899,902.354298301403,34.2985318107667
