Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1988 [YR1988],1992 [YR1992],1998 [YR1998],2002 [YR2002],2006 [YR2006],2010 [YR2010],2014 [YR2014],2018 [YR2018]
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,327,..,327,..,..,327,..
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1485,..,1485,..,..,1485,..
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,89,..,89,..,..,89,..
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1010,..,1010,..,..,1010,..
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1030,..,1030,..,..,1030,..
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,591,..,591,..,..,591,..
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,562,..,562,..,..,562,..
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,534,..,534,..,..,534,..
Austria,AUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1110,..,1110,..,..,1110,..
Azerbaijan,AZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,447,..,447,..,..,447,..
"Bahamas, The",BHS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1292,..,1292,..,..,1292,..
Bahrain,BHR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,83,..,83,..,..,83,..
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2666,..,2666,..,..,2666,..
Barbados,BRB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1422,..,1422,..,..,1422,..
Belarus,BLR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,618,..,618,..,..,618,..
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,847,..,847,..,..,847,..
Belize,BLZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1705,..,1705,..,..,1705,..
Benin,BEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1039,..,1039,..,..,1039,..
Bermuda,BMU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2200,..,2200,..,..,2200,..
Bolivia,BOL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1146,..,1146,..,..,1146,..
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1028,..,1028,..,..,1028,..
Botswana,BWA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,416,..,416,..,..,416,..
Brazil,BRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1761,..,1761,..,..,1761,..
British Virgin Islands,VGB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2722,..,2722,..,..,2722,..
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,608,..,608,..,..,608,..
Burkina Faso,BFA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,748,..,748,..,..,748,..
Burundi,BDI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1274,..,1274,..,..,1274,..
Cabo Verde,CPV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,228,..,228,..,..,228,..
Cambodia,KHM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1904,..,1904,..,..,1904,..
Cameroon,CMR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1604,..,1604,..,..,1604,..
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,537,..,537,..,..,537,..
Cayman Islands,CYM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1343,..,1343,..,..,1343,..
Chad,TCD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,322,..,322,..,..,322,..
Channel Islands,CHI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Chile,CHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1522,..,1522,..,..,1522,..
China,CHN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,645,..,645,..,..,645,..
Colombia,COL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,3240,..,3240,..,..,3240,..
Comoros,COM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,900,..,900,..,..,900,..
"Congo, Dem. Rep.",COD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1543,..,1543,..,..,1543,..
"Congo, Rep.",COG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1646,..,1646,..,..,1646,..
Costa Rica,CRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2926,..,2926,..,..,2926,..
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1348,..,1348,..,..,1348,..
Croatia,HRV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1113,..,1113,..,..,1113,..
Cuba,CUB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1335,..,1335,..,..,1335,..
Curacao,CUW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,498,..,498,..,..,498,..
Czech Republic,CZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,677,..,..,677,..
Denmark,DNK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,703,..,703,..,..,703,..
Djibouti,DJI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,220,..,220,..,..,220,..
Dominica,DMA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2083,..,2083,..,..,2083,..
Dominican Republic,DOM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1410,..,1410,..,..,1410,..
Ecuador,ECU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2274,..,2274,..,..,2274,..
"Egypt, Arab Rep.",EGY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,51,..,51,..,..,51,..
El Salvador,SLV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1784,..,1784,..,..,1784,..
Equatorial Guinea,GNQ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2156,..,2156,..,..,2156,..
Eritrea,ERI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,384,..,..,384,..
Estonia,EST,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,626,..,626,..,..,626,..
Eswatini,SWZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,788,..,788,..,..,788,..
Ethiopia,ETH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,848,..,..,848,..
Faroe Islands,FRO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Fiji,FJI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2592,..,2592,..,..,2592,..
Finland,FIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,536,..,536,..,..,536,..
France,FRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,867,..,867,..,..,867,..
French Polynesia,PYF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Gabon,GAB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1831,..,1831,..,..,1831,..
"Gambia, The",GMB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,836,..,836,..,..,836,..
Georgia,GEO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1026,..,1026,..,..,1026,..
Germany,DEU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,700,..,700,..,..,700,..
Ghana,GHA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1187,..,1187,..,..,1187,..
Gibraltar,GIB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Greece,GRC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,652,..,652,..,..,652,..
Greenland,GRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Grenada,GRD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2350,..,2350,..,..,2350,..
Guam,GUM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1996,..,1996,..,..,1996,..
Guinea,GIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1651,..,1651,..,..,1651,..
Guinea-Bissau,GNB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1577,..,1577,..,..,1577,..
Guyana,GUY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2387,..,2387,..,..,2387,..
Haiti,HTI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1440,..,1440,..,..,1440,..
Honduras,HND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1976,..,1976,..,..,1976,..
"Hong Kong SAR, China",HKG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Hungary,HUN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,589,..,589,..,..,589,..
Iceland,ISL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1940,..,1940,..,..,1940,..
India,IND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1083,..,1083,..,..,1083,..
Indonesia,IDN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2702,..,2702,..,..,2702,..
"Iran, Islamic Rep.",IRN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,228,..,228,..,..,228,..
Iraq,IRQ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,216,..,216,..,..,216,..
Ireland,IRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1118,..,1118,..,..,1118,..
Isle of Man,IMN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Israel,ISR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,435,..,435,..,..,435,..
Italy,ITA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,832,..,832,..,..,832,..
Jamaica,JAM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2051,..,2051,..,..,2051,..
Japan,JPN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1668,..,1668,..,..,1668,..
Jordan,JOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,111,..,111,..,..,111,..
Kazakhstan,KAZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,250,..,250,..,..,250,..
Kenya,KEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,630,..,630,..,..,630,..
Kiribati,KIR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,630,..,630,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1054,..,1054,..,..,1054,..
"Korea, Rep.",KOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1274,..,1274,..,..,1274,..
Kosovo,XKX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Kuwait,KWT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,121,..,121,..,..,121,..
Kyrgyz Republic,KGZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,533,..,533,..,..,533,..
Lao PDR,LAO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1834,..,1834,..,..,1834,..
Latvia,LVA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,641,..,641,..,..,641,..
Lebanon,LBN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,661,..,661,..,..,661,..
Lesotho,LSO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,788,..,788,..,..,788,..
Liberia,LBR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2391,..,2391,..,..,2391,..
Libya,LBY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,56,..,56,..,..,56,..
Liechtenstein,LIE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,56,..,56,..,..,..,..
Lithuania,LTU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,656,..,656,..,..,656,..
Luxembourg,LUX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,934,..,934,..,..,934,..
"Macao SAR, China",MAC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Madagascar,MDG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1513,..,1513,..,..,1513,..
Malawi,MWI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1181,..,1181,..,..,1181,..
Malaysia,MYS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2875,..,2875,..,..,2875,..
Maldives,MDV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1972,..,1972,..,..,1972,..
Mali,MLI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,282,..,282,..,..,282,..
Malta,MLT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,560,..,560,..,..,560,..
Marshall Islands,MHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,560,..,560,..,..,..,..
Mauritania,MRT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,92,..,92,..,..,92,..
Mauritius,MUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2041,..,2041,..,..,2041,..
Mexico,MEX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,758,..,758,..,..,758,..
"Micronesia, Fed. Sts.",FSM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,758,..,758,..,..,..,..
Moldova,MDA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,450,..,450,..,..,450,..
Monaco,MCO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Mongolia,MNG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,241,..,241,..,..,241,..
Montenegro,MNE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,241,..,241,..,..,..,..
Morocco,MAR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,346,..,346,..,..,346,..
Mozambique,MOZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1032,..,1032,..,..,1032,..
Myanmar,MMR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2091,..,2091,..,..,2091,..
Namibia,NAM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,285,..,285,..,..,285,..
Nauru,NRU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,285,..,285,..,..,..,..
Nepal,NPL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1500,..,1500,..,..,1500,..
Netherlands,NLD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,778,..,778,..,..,778,..
New Caledonia,NCL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1732,..,1732,..,..,1732,..
Nicaragua,NIC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2280,..,2280,..,..,2280,..
Niger,NER,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,151,..,151,..,..,151,..
Nigeria,NGA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1150,..,1150,..,..,1150,..
North Macedonia,MKD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,619,..,619,..,..,619,..
Northern Mariana Islands,MNP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Norway,NOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1414,..,1414,..,..,1414,..
Oman,OMN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,125,..,125,..,..,125,..
Pakistan,PAK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,494,..,494,..,..,494,..
Palau,PLW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,494,..,494,..,..,..,..
Panama,PAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2928,..,2928,..,..,2928,..
Papua New Guinea,PNG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,3142,..,3142,..,..,3142,..
Paraguay,PRY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1130,..,1130,..,..,1130,..
Peru,PER,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1738,..,1738,..,..,1738,..
Philippines,PHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2348,..,2348,..,..,2348,..
Poland,POL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,600,..,600,..,..,600,..
Portugal,PRT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,854,..,854,..,..,854,..
Puerto Rico,PRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2054,..,2054,..,..,2054,..
Qatar,QAT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,74,..,74,..,..,74,..
Romania,ROU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,637,..,637,..,..,637,..
Russian Federation,RUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,460,..,460,..,..,460,..
Rwanda,RWA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1212,..,1212,..,..,1212,..
Samoa,WSM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1583,..,1583,..,..,..,..
San Marino,SMR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,3200,..,3200,..,..,3200,..
Saudi Arabia,SAU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,59,..,59,..,..,59,..
Senegal,SEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,686,..,686,..,..,686,..
Serbia,SRB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,686,..,686,..,..,..,..
Seychelles,SYC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2330,..,2330,..,..,2330,..
Sierra Leone,SLE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2526,..,2526,..,..,2526,..
Singapore,SGP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2497,..,2497,..,..,2497,..
Sint Maarten (Dutch part),SXM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2497,..,824,..,..,824,..
Slovenia,SVN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1162,..,1162,..,..,1162,..
Solomon Islands,SLB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,3028,..,3028,..,..,3028,..
Somalia,SOM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,282,..,282,..,..,282,..
South Africa,ZAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,495,..,495,..,..,495,..
South Sudan,SSD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,495,..,495,..,..,900,..
Spain,ESP,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,636,..,636,..,..,636,..
Sri Lanka,LKA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1712,..,1712,..,..,1712,..
St. Kitts and Nevis,KNA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1427,..,1427,..,..,1427,..
St. Lucia,LCA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2301,..,2301,..,..,2301,..
St. Martin (French part),MAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1583,..,1583,..,..,1583,..
Sudan,SDN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1712,..,1712,..,..,250,..
Suriname,SUR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2331,..,2331,..,..,2331,..
Sweden,SWE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,624,..,624,..,..,624,..
Switzerland,CHE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1537,..,1537,..,..,1537,..
Syrian Arab Republic,SYR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,252,..,252,..,..,252,..
Tajikistan,TJK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,691,..,691,..,..,691,..
Tanzania,TZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1071,..,1071,..,..,1071,..
Thailand,THA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1622,..,1622,..,..,1622,..
Timor-Leste,TLS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1500,..,1500,..,..,1500,..
Togo,TGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1168,..,1168,..,..,1168,..
Tonga,TON,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2200,..,2200,..,..,2200,..
Tunisia,TUN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,207,..,207,..,..,207,..
Turkey,TUR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,593,..,593,..,..,593,..
Turkmenistan,TKM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,161,..,161,..,..,161,..
Turks and Caicos Islands,TCA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,161,..,161,..,..,..,..
Uganda,UGA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1180,..,1180,..,..,1180,..
Ukraine,UKR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,565,..,565,..,..,565,..
United Arab Emirates,ARE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,78,..,78,..,..,78,..
United Kingdom,GBR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1220,..,1220,..,..,1220,..
United States,USA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,715,..,715,..,..,715,..
Uruguay,URY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1300,..,1300,..,..,1300,..
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,206,..,206,..,..,206,..
Vanuatu,VUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,206,..,206,..,..,..,..
"Venezuela, RB",VEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2044,..,2044,..,..,2044,..
Vietnam,VNM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1821,..,1821,..,..,1821,..
Virgin Islands (U.S.),VIR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,402,..,402,..,..,402,..
"Yemen, Rep.",YEM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,167,..,167,..,..,167,..
Zambia,ZMB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1020,..,1020,..,..,1020,..
Zimbabwe,ZWE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,657,..,657,..,..,657,..

